"workerId","RT","image_1_text","image_2_text","database","image"
"A1C66QKNXGH895",85.544925,"two men posing with a mascot with a garbage can in the background. ","two men posing with a mascot with no garbage can in the background.","wolfe1","image-015"
"A1C66QKNXGH895",208.939295," eight people sitting in a classroom with a window with a closed curtain in the far corner. ","eight people sitting in a classroom with no window in the corner. ","wolfe1","image-003"
"A1C66QKNXGH895",68.862235,"a rooftop patio overlooking a light blue building. ","a rooftop patio overlooking a pink building. ","wolfe1","image-136"
"A1C66QKNXGH895",91.04296,"a clothing store with red clothing on the signage.","a clothing store with yellow clothing on the signage. ","wolfe1","image-113"
"A1C66QKNXGH895",158.38118,"a group of seven hikers with one man in a yellow shirt carrying a red back pack.","a group of seven hikers with one man in a yellow shirt carrying a green back pack. ","wolfe1","image-084"
"A1C66QKNXGH895",90.488215,"an outdoor seating area with a brown surfboard leaning on the wall. ","an outdoor seating area with a green surfboard leaning on the wall. ","wolfe1","image-133"
"A1C66QKNXGH895",111.56178,"men playing basketball in front of a crowd with a blue awning in the top left corner. ","men playing basketball in front of a crowd with no awning visible.","wolfe1","image-033"
"A1C66QKNXGH895",87.507475,"an interior and exterior seating area with a large and small planter","an interior and exterior seating area with a large planter. ","wolfe1","image-012"
"A1C66QKNXGH895",143.514605,"a person setting up camp in the snow with their supplies spread out and a yellow bucket laying on its side. ","a person setting up camp in the snow with their supplies spread out.","wolfe1","image-010"
"A1C66QKNXGH895",101.751515,"three people running with a fountain and two benches visible in the background","three people running with a fountain and one bench visible in the background. ","wolfe1","image-022"
"A1C66QKNXGH895",109.59453,"people loading supplies with an orange and blue case onto a helicopter in the snow. ","people loading supplies with a blue case onto a helicopter in the snow. ","wolfe1","image-130"
"A1C66QKNXGH895",83.24057,"boys playing basketball outside a garage with two wall lights visible on the building.","boys playing basketball outside a garage with one wall light visible on the building. ","wolfe1","image-040"
"A1C66QKNXGH895",58.480655," a black and white cow eating green grass.","a patch of green grass.","wolfe1","cow"
"A1C66QKNXGH895",60.35106,"an airplane flying above the clouds. ","a view  of the empty sky above the clouds.","wolfe1","airplane"
"A22LZ62E0UC4VL",30.073605,"there is a garbage can in this photo.  it's in the background.","there is no garbage can in the background.","wolfe1","image-015"
"A22LZ62E0UC4VL",35.9241,"there is an umbrella that is in the left side.","there is no umbrella.","wolfe1","image-033"
"A22LZ62E0UC4VL",104.455145,"there is a yellow plate next to the containers.","there is a yellow plate missing next to the containers.","wolfe1","image-010"
"A22LZ62E0UC4VL",20.530005,"the house in the background is blue.","the house in the background is pink.","wolfe1","image-136"
"A22LZ62E0UC4VL",24.04705,"there appears to be a window with drapes in the upper left corner.","the wall has no window in the upper left corner.","wolfe1","image-003"
"A22LZ62E0UC4VL",31.32964,"the colors of the surfboard is black and red.","the color of the surfboard is green and black.","wolfe1","image-133"
"A22LZ62E0UC4VL",17.0442,"the color of the dress that is hanging up is red.","the color of the dress is yellow.","wolfe1","image-113"
"A22LZ62E0UC4VL",31.51313,"the grass seems to have a bench.","there is no bench in the background.","wolfe1","image-022"
"A22LZ62E0UC4VL",31.89782,"there is a circular object on the ground.","there is nothing on the ground.","wolfe1","image-012"
"A22LZ62E0UC4VL",141.554495,"there is a light on the house.  it is right above the garage.","the house does not have any lights above the first garage.","wolfe1","image-040"
"A22LZ62E0UC4VL",14.791125,"the object is orange.","the object is blue.","wolfe1","image-130"
"A22LZ62E0UC4VL",205.3976,"the person's backpack is red.","the person's backpack is green.","wolfe1","image-084"
"A22LZ62E0UC4VL",18.89422,"there is a cow on the grass.","there is nothing in the background.  there is just grass.","wolfe1","cow"
"A22LZ62E0UC4VL",29.53558,"there is an airplane in the sky.","there is nothing in the sky.","wolfe1","airplane"
"A2APG8MSLJ6G2K",97.94006,"a group of people ready to board a helicopter along with yellow labeled supplies","a group of people ready to board a helicopter along with blue labeled supplies","wolfe1","image-130"
"A2APG8MSLJ6G2K",142.93666,"a group of young men playing basketball in front of garage doors that have overhanging lights","a group of young men playing basketball in front of garage doors, of which one has an overhanging light","wolfe1","image-040"
"A2APG8MSLJ6G2K",71.518415,"a group of young hikers in which one hiker is checking out something in his red backpack","a group of young ikers in whic one hiker is checking out something in his green backpack","wolfe1","image-084"
"A2APG8MSLJ6G2K",41.265525,"a presentation being held in a basement with one window","a presentation being held in a basement with no windows","wolfe1","image-003"
