"workerId","stim_set","image","log_rt","likelihood_rating","box_percent","change_percent","eccentricity","change_type","group"
"A10MSB9X1UFLJ5","rensink","Amish",0.835436894801858,4,2.17578,1.55253,101.533,"color","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Army",0.949877704036875,4,3.99771,3.06343,279.836,"disappear","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Barns",0.832764304940531,5,3.13914,2.54824,212.269,"color","Judged by returning"
"A10MSB9X1UFLJ5","rensink","BarnTrack",0.835690571492426,4,13.5153,8.24921,228.729,"color","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Barrels",0.858296524533885,4,3.53571,2.63114,346.469,"color","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Beach",0.842047288509638,5,7.39093,5.09096,204.355,"color","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Birds",0.94551782207784,1,20.246,14.9054,211.854,"movement","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Cactus",0.825685708021758,5,5.59739,4.03057,246.982,"disappear","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Camel",0.850217241798389,4,1.60429,1.43004,323.396,"disappear","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Chopper",1.11733759509592,1,18.5316,11.6529,212.398,"disappear","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Cockpit",0.947727726963316,5,13.2188,10.2146,130.085,"movement","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Description",1.17403071803803,3,10.659,6.98739,314.506,"color","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Dinner",0.835753967519383,3,6.54686,5.52743,43.8634,"movement","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Eating",0.950413539369381,4,40.832,13.7789,38,"movement","Judged by returning"
"A10MSB9X1UFLJ5","rensink","FarmByPond",0.985246790802862,2,18.4747,15.9762,247.227,"movement","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Fishing",0.83695673705955,2,16.1257,10.5403,150.243,"movement","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Floatplane",0.844601419626347,4,16.9097,3.23686,108.011,"color","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Horizon",1.03031630598859,4,4.048,3.49429,182.332,"movement","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Ice",0.949926443667912,4,2.16709,1.55375,271.007,"disappear","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Kayak",0.836134149465375,5,8.69143,5.92743,90,"color","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Kids",0.85394144588049,4,17.9476,12.2552,258.358,"color","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Lake",0.832189461068513,5,7.58516,5.68588,146.014,"disappear","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Market",0.827046017004734,4,3.92,3.12943,313.129,"color","Judged by returning"
"A10MSB9X1UFLJ5","rensink","NotreDame",0.833019547076531,2,21.5458,18.514,119.218,"movement","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Nurses",0.850155922422092,5,24.3502,16.7153,284.297,"color","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Obelisk",1.12004719435304,5,5.61,4.74143,252.018,"disappear","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Station",1.03205437547967,3,1.92,1.46486,244.283,"disappear","Judged by returning"
"A10MSB9X1UFLJ5","rensink","Window",1.00212284622516,4,6.32849,4.85372,321.31,"disappear","Judged by returning"
"A171RZ3O028XF6","rensink","Army",0.889917683436206,2,3.99771,3.06343,279.836,"disappear","Judged by returning"
"A171RZ3O028XF6","rensink","Barrels",0.816970037757299,4,3.53571,2.63114,346.469,"color","Judged by returning"
"A171RZ3O028XF6","rensink","Boat",0.836324115706752,1,16.4853,14.2116,155.708,"movement","Judged by returning"
"A171RZ3O028XF6","rensink","Cockpit",0.832445041174111,1,13.2188,10.2146,130.085,"movement","Judged by returning"
"A171RZ3O028XF6","rensink","Description",0.81431420020746,1,10.659,6.98739,314.506,"color","Judged by returning"
"A171RZ3O028XF6","rensink","Dinner",0.888684846659699,1,6.54686,5.52743,43.8634,"movement","Judged by returning"
"A171RZ3O028XF6","rensink","Diver",0.816174990428802,5,8.91497,5.04008,227.247,"color","Judged by returning"
"A171RZ3O028XF6","rensink","Egypt",0.822233480238844,1,14.7719,11.3036,35.4401,"movement","Judged by returning"
"A171RZ3O028XF6","rensink","FarmByPond",0.8885725968576,1,18.4747,15.9762,247.227,"movement","Judged by returning"
"A171RZ3O028XF6","rensink","Farmer",0.820661134643595,5,3.68,2.50029,76.3675,"color","Judged by returning"
"A171RZ3O028XF6","rensink","Floatplane",0.824581376233483,5,16.9097,3.23686,108.011,"color","Judged by returning"
"A171RZ3O028XF6","rensink","Harbor",0.828531006645101,4,5.94785,2.88997,96.8969,"color","Judged by returning"
"A171RZ3O028XF6","rensink","Horizon",0.816837630902035,3,4.048,3.49429,182.332,"movement","Judged by returning"
"A171RZ3O028XF6","rensink","Kayaker",0.848620117434134,2,4.12354,2.8699,133.6,"disappear","Judged by returning"
"A171RZ3O028XF6","rensink","Kids",0.819148942807134,2,17.9476,12.2552,258.358,"color","Judged by returning"
"A171RZ3O028XF6","rensink","Lake",0.826657791875869,4,7.58516,5.68588,146.014,"disappear","Judged by returning"
"A171RZ3O028XF6","rensink","Market",0.818753590497717,4,3.92,3.12943,313.129,"color","Judged by returning"
"A171RZ3O028XF6","rensink","NotreDame",0.873087985590286,1,21.5458,18.514,119.218,"movement","Judged by returning"
"A171RZ3O028XF6","rensink","Obelisk",0.937417581477138,4,5.61,4.74143,252.018,"disappear","Judged by returning"
"A171RZ3O028XF6","rensink","OtherDiver",0.929112256654661,1,11.6839,9.90696,252.723,"movement","Judged by returning"
"A171RZ3O028XF6","rensink","Pilots",0.934043719035525,4,3.57,2.76514,300.666,"color","Judged by returning"
"A171RZ3O028XF6","rensink","Seal",0.940914737580285,4,4.04192,2.96151,27.8568,"movement","Judged by returning"
"A171RZ3O028XF6","rensink","Station",0.841171694499532,2,1.92,1.46486,244.283,"disappear","Judged by returning"
"A171RZ3O028XF6","rensink","SummerLake",0.868820706197517,4,3.96137,2.57797,203.081,"disappear","Judged by returning"
"A171RZ3O028XF6","rensink","Turtle",0.809896246602439,5,20.7749,14.0023,234.451,"color","Judged by returning"
"A171RZ3O028XF6","rensink","Window",0.817961804531994,3,6.32849,4.85372,321.31,"disappear","Judged by returning"
"A1G187YBG0DVMQ","rensink","Amish",0.722716167488495,4,2.17578,1.55253,101.533,"color","Judged by returning"
"A1G187YBG0DVMQ","rensink","Army",0.813580988568192,2,3.99771,3.06343,279.836,"disappear","Judged by returning"
"A1G187YBG0DVMQ","rensink","Barns",0.815378484965918,4,3.13914,2.54824,212.269,"color","Judged by returning"
"A1G187YBG0DVMQ","rensink","BarnTrack",0.700703717145019,3,13.5153,8.24921,228.729,"color","Judged by returning"
"A1G187YBG0DVMQ","rensink","Beach",0.818357877958355,4,7.39093,5.09096,204.355,"color","Judged by returning"
"A1G187YBG0DVMQ","rensink","Camel",0.72956972630197,2,1.60429,1.43004,323.396,"disappear","Judged by returning"
"A1G187YBG0DVMQ","rensink","Castle",0.672559627763276,1,6.75925,3.97303,166.628,"movement","Judged by returning"
"A1G187YBG0DVMQ","rensink","Cockpit",0.935960468989166,3,13.2188,10.2146,130.085,"movement","Judged by returning"
"A1G187YBG0DVMQ","rensink","Eating",0.719662683018047,1,40.832,13.7789,38,"movement","Judged by returning"
"A1G187YBG0DVMQ","rensink","Egypt",0.673665876245702,2,14.7719,11.3036,35.4401,"movement","Judged by returning"
"A1G187YBG0DVMQ","rensink","Farmer",0.675136504467994,2,3.68,2.50029,76.3675,"color","Judged by returning"
"A1G187YBG0DVMQ","rensink","Fountain",0.760347078529906,3,6.21257,4.69,149.937,"movement","Judged by returning"
"A1G187YBG0DVMQ","rensink","Harbor",0.884851982745998,5,5.94785,2.88997,96.8969,"color","Judged by returning"
"A1G187YBG0DVMQ","rensink","Horizon",0.675136504467994,2,4.048,3.49429,182.332,"movement","Judged by returning"
"A1G187YBG0DVMQ","rensink","Ice",0.814647069451856,4,2.16709,1.55375,271.007,"disappear","Judged by returning"
"A1G187YBG0DVMQ","rensink","Kayaker",0.672190251188252,4,4.12354,2.8699,133.6,"disappear","Judged by returning"
"A1G187YBG0DVMQ","rensink","Market",0.818225893613955,3,3.92,3.12943,313.129,"color","Judged by returning"
"A1G187YBG0DVMQ","rensink","Marling",0.754654069255432,4,4.71429,3.84743,210.889,"disappear","Judged by returning"
"A1G187YBG0DVMQ","rensink","Mosque",0.828917561616686,4,4.44873,3.66599,74.108,"disappear","Judged by returning"
"A1G187YBG0DVMQ","rensink","NotreDame",0.675961549642169,1,21.5458,18.514,119.218,"movement","Judged by returning"
"A1G187YBG0DVMQ","rensink","Nurses",0.732715340349993,4,24.3502,16.7153,284.297,"color","Judged by returning"
"A1G187YBG0DVMQ","rensink","Pilots",0.776773802412107,3,3.57,2.76514,300.666,"color","Judged by returning"
"A1G187YBG0DVMQ","rensink","Seal",0.686010291315286,2,4.04192,2.96151,27.8568,"movement","Judged by returning"
