"image_1_text","image_2_text","database","image","number"
"there is a picture, a lamp, a flower vase, a letter a decor and a blue ball with a big  white cup in the picture","there is a picture, a lamp, a flower vase, a letter a decor and a blue ball with a small white cup in the picture","ma","10504629","1"
"starbucks painting with a wide cup","starbucks painting wit a narrow tall cup ","ma","10504629","2"
"a room with flowers, lamp, hanging lights, and wall art.  one of the pieces of wall art appears to be a picture of coffee from starbucks and is hanging approximately six inches from the corner of the room.","a room with flowers, lamp, hanging lights, and wall art.  one of the pieces of wall art appears to be a picture of coffee from starbucks and is hanging approximatley ten inches from the corner of th room.  ","ma","10504629","3"
"a corner table with a vase full of flowers and a lamp, with a letter 'a' design on the wall and a centered painting of a coffee cup","a corner table with a vase full of flowers and a lamp, with a letter 'a' design on the wall and an off-centered painting of a coffee cup","ma","10504629","4"
"a bedroom wall with a letter a and a coffee mug painting, and a red table with a flower vase and lamp","a bedroom wall with a letter a and a coffee mug painting, and a red table with a flower vase and lamp","ma","10504629","5"
"a room with some wall decorations including a wide painting of a coffee mug","a room with wall decorations in cluding a narrow painting of a coffee mug.","ma","10504629","6"
"a decorated room with a colorful lamp and a painting of a coffee on the wall","a decorated room with a colorful lamp and a painting of a coffee mug on the wall","ma","10504629","7"
"a table with a pink tablecloth with a place setting for 6 with clear glassware four tealight candles burning each inside a shell. green napkins and silverware and pink and white flowers in the center","a table with a pink tablecloth with a place setting for six with clear glassware  four tealights lit and each sitting inside a seashell there are white and pink flowers in the center of the table.","ma","10810329","1"
"a dinner table with 4 lights one of them bigger than the other","a dinner table with 4 lights all equal size","ma","10810329","2"
"candle lit dinner table with 4 candles and ones larger","candle lit dinner with 4 candles all the same size","ma","10810329","3"
"a fancy dinner table with roses and a large tea light candle in a clam shell.","a fancy dinner table with roses and a small tea light in a clam shell.","ma","10810329","4"
"the light here is a bit wide ","the light here is a bit msllaer from the first one ","ma","10810329","5"
"a night set dintertable wih lit candles ","a nice set dinner table with lit candles","ma","10810329","6"
"a dinner table with three round candles and one oblong candle.","a dinner table with four round candles.","ma","10810329","7"
"sophisticated table set with votive candles","sophisticated table set with lit votive candles","ma","10810329","8"
"beautiful decorated table set for a meal with four candles, the candle on the left is the largest","decorated table set for an elegant meal with four candles of equal size","ma","10810329","9"
"a table setting with candle lights that are larger in size","a table setting with candle lights that are smaller in size","ma","10810329","10"
"coffee table game with different colors including a black piece","coffee table gam with different colors including a white piece instead of black","ma","1191801","1"
"a small game resembling a pool table has colored pieces on the table.  the one in yellow box is black.","a small game resembling a pool table has colored pieces on the table.  the one in the yellow box is white.","ma","1191801","2"
"a miniature pool table with two black balls","a miniature pool table with one white ball","ma","1191801","3"
"a lego pool table set with the black and grey pieces sitting right next to the pool cue. ","a lego pool table set with the white and grey pieces sitting right next to the pool cue.","ma","1191801","4"
"a toy pool table with two black pegs on the surface","a toy pool table with eight different colored pegs","ma","1191801","5"
"a black a yellow  box with black binnoculars on top with a black strap wiht red on it.","a black and yellow box with black binnocular on top with a black strap with yellow on it.","ma","12115280","1"
"a robotic cake design with red color edges","a robotic cake design with yellow color edges.","ma","12115280","2"
"a yellow and black 'walle' cake from disney with the word laurie on it","a yellow and black 'walle' cake from disney with the word laurie on it","ma","12115280","3"
"a robot made out of fabric, and one that has red felt on the side of it","a robot made out of fabric, and one that does not have red felt on the side of it","ma","12115280","4"
"a cake decorated like wall-e with a red arm","a cake decorated like wall-e with a yellow arm","ma","12115280","5"
"a robotic looking cake with fondant and a red line towards the top right of the cake","a robotic looking cake with fondant and a yellow line towards the top right of the cake","ma","12115280","6"
"a robot shaped cake with red detailing on the side","a robot shaped cake with yellow detaining on the side","ma","12115280","7"
"a robot looking item with the name lauri e on it","a robot looking item with the name lauri e on it and an amber marker light","ma","12115280","8"
"a parachute with gas fire at pink color edges.","a parachute with gas fire at yellow color edges.","ma","12178414","1"
"the inside of a hot air baloon that features a colorful pattern of pink, red, yellow, blue and green","the inside of a hot air balloon that features a colorful pattern of red, yellow, blue and green","ma","12178414","2"
"a hot air balloon with a purple stripe in the center.","a hot air balloon with green and yellow stripes in the center.","ma","12178414","3"
"four brightly colored panels on hot air like balloon with small patch of pink","four brightly colored panels on hot air like baloon","ma","12178414","4"
"presumably a colorful hot air balloon with one section being miscolored as purple.","presumably a colorful hot air balloon with one section matching the rest as yellow.","ma","12178414","5"
"an air ballon with pink shade in the middle","an air ballon with consistent color","ma","12178414","6"
"a rainbow parachute with a pink and green triangle in the center","a rainbow parachute with a yellow and green triangle in the center","ma","12178414","7"
"a parachute that has four different colors and the colors narrow in the middle","a parachute that the colors narrow in the middle","ma","12178414","8"
"a photo of the inside of a hot air balloon with many colors, in particular purple and green with a black circle","a photo of the inside of a hot air balloon with many colors, in particular green and yellow with a black circle","ma","12178414","9"
"at the middle of the circle, pink color is present","at the middle of the circle, yellow color is present","ma","12178414","10"
"a yellow, green, red, and blue mostly solid striped parachute","a yellow, green, red, and blue solid striped parachute","ma","12178414","11"
"animal figure and ground with an orange carrot","animal figure and ground with a red carrot","ma","13141692","1"
" a small pad of moss with a small grey and white dog with lots of dog toys and a brown dog toy.","a small pad of moss with a small grey and white dog with lots of dog toys and a red do toy.","ma","13141692","2"
"a small toy with yellow color","a small toy with red color and its look like cherry.","ma","13141692","3"
"a figurine of a small dog outside with a yellow toy on the ground.","a figurine of  a small dog outside with a red toy on the ground.","ma","13141692","4"
"the color here is orange ","the color here is red","ma","13141692","5"
"two yellow pumpkins sitting on a colorful quilt","one yellow pumpkins sitting on a colorful quilt","ma","1383096","1"
"a halloween themed quilt with little craft pumpkins","pictures of small fall trees on a halloween themed quilt","ma","1383096","2"
"a quilt with autum colors and three pumpkins.","a quilt with autum colors and two pumpkins.","ma","1383096","3"
"a harvest type quilt with small pumpkins laying on it. a small yellow pumpkin or yellow tomato lies on the quilit beside two other yellow pumkins and a red onion.  ","a harvest type quilt with small pumpkins laying on it.  two small yellow pumpkins or possible yellow tomotoes with a red onion.","ma","1383096","4"
"a halloween themed blanket with three pumpkins in the background","a halloween themed blanket with two pumpkins in the background","ma","1383096","5"
"a black ploow on a chair","a chair with a black pillow on it.","ma","13873251","1"
"the pillow is front","the pillow is somewhat back","ma","13873251","2"
" a room full of furniture with a black tile border around it and a black and white sofa with a large black pillow.","a room full of furniture with a black tile border around it and a black and white sofa with a small black pillow.","ma","13873251","3"
"a waiting area with a comfortable looking chair and black pillow","a waiting area with a comfortable looking chair and black pillow","ma","13873251","4"
"brown pillow on brown patterned chair","brown pillow on brown patterned chair","ma","13873251","5"
"a bigger pillow on a chair","a smaller pillow on a chair","ma","13873251","6"
"a living room with chairs and pillows on them a couch and a bar","a living room that has a couch a bar and chairs with pillows on them","ma","13873251","7"
"a nice set of furniture with a chair that has a large pillow","a nice set of furniture with a chair that has a normal size pillow","ma","13873251","8"
"at the left sofa, pillow is placed","at the left sofa, pillow is placed at the corner side","ma","13873251","9"
"a living area set up with chairs and tables","a living area that has rugs, tables, pictures and a pillow on each chair","ma","13873251","10"
"a living area with three sofas containing different sizes of pillows.","a living area with three sofas containing same size of pillows.","ma","13873251","11"
"a decorated living room featuring various places to sit and multiple brown throw pillows, one of which is larger than the other","a decorated living room featuring various places to sit and multiple brown throw pillows of equal size","ma","13873251","12"
"a picture of a storefront with holiday lights and a long firehose.","a picture of a storefront with holiday lights and a short firehose.","ma","16527526","1"
