workerId,trial_num,image_a,image_b
A1CUDX7TTS2W61,1,wolfe_image-077-a_w_outline.jpg,wolfe_image-077-b_w_outline.jpg
A1CUDX7TTS2W61,2,wolfe_image-114-a_w_outline.jpg,wolfe_image-114-b_w_outline.jpg
A1CUDX7TTS2W61,3,wolfe_image-045-a_w_outline.jpg,wolfe_image-045-b_w_outline.jpg
A1CUDX7TTS2W61,4,wolfe_image-119-a_w_outline.jpg,wolfe_image-119-b_w_outline.jpg
A1CUDX7TTS2W61,5,wolfe_image-126-a_w_outline.jpg,wolfe_image-126-b_w_outline.jpg
A1CUDX7TTS2W61,6,wolfe_image-001-a_w_outline.jpg,wolfe_image-001-b_w_outline.jpg
A1CUDX7TTS2W61,7,wolfe_image-038-a_w_outline.jpg,wolfe_image-038-b_w_outline.jpg
A1CUDX7TTS2W61,8,wolfe_image-019-a_w_outline.jpg,wolfe_image-019-b_w_outline.jpg
A1CUDX7TTS2W61,9,wolfe_image-128-a_w_outline.jpg,wolfe_image-128-b_w_outline.jpg
A1CUDX7TTS2W61,10,wolfe_image-110-a_w_outline.jpg,wolfe_image-110-b_w_outline.jpg
A1CUDX7TTS2W61,11,wolfe_image-082-a_w_outline.jpg,wolfe_image-082-b_w_outline.jpg
A1CUDX7TTS2W61,12,wolfe_image-034-a_w_outline.jpg,wolfe_image-034-b_w_outline.jpg
A1CUDX7TTS2W61,13,wolfe_image-047-a_w_outline.jpg,wolfe_image-047-b_w_outline.jpg
A1CUDX7TTS2W61,14,wolfe_image-084-a_w_outline.jpg,wolfe_image-084-b_w_outline.jpg
A1CUDX7TTS2W61,15,wolfe_image-122-a_w_outline.jpg,wolfe_image-122-b_w_outline.jpg
A1CUDX7TTS2W61,16,wolfe_image-046-a_w_outline.jpg,wolfe_image-046-b_w_outline.jpg
A1CUDX7TTS2W61,17,wolfe_image-029-a_w_outline.jpg,wolfe_image-029-b_w_outline.jpg
A1CUDX7TTS2W61,18,wolfe_image-020-a_w_outline.jpg,wolfe_image-020-b_w_outline.jpg
A1CUDX7TTS2W61,19,wolfe_image-129-a_w_outline.jpg,wolfe_image-129-b_w_outline.jpg
A1CUDX7TTS2W61,20,wolfe_image-043-a_w_outline.jpg,wolfe_image-043-b_w_outline.jpg
A1CUDX7TTS2W61,21,wolfe_image-103-a_w_outline.jpg,wolfe_image-103-b_w_outline.jpg
A1CUDX7TTS2W61,22,wolfe_image-026-a_w_outline.jpg,wolfe_image-026-b_w_outline.jpg
A1CUDX7TTS2W61,23,wolfe_image-030-a_w_outline.jpg,wolfe_image-030-b_w_outline.jpg
A1CUDX7TTS2W61,24,wolfe_image-120-a_w_outline.jpg,wolfe_image-120-b_w_outline.jpg
A1CUDX7TTS2W61,25,wolfe_image-115-a_w_outline.jpg,wolfe_image-115-b_w_outline.jpg
A1CUDX7TTS2W61,26,wolfe_image-016-a_w_outline.jpg,wolfe_image-016-b_w_outline.jpg
A1CUDX7TTS2W61,27,wolfe_image-076-a_w_outline.jpg,wolfe_image-076-b_w_outline.jpg
A1CUDX7TTS2W61,28,wolfe_image-017-a_w_outline.jpg,wolfe_image-017-b_w_outline.jpg
A1CUDX7TTS2W61,29,wolfe_image-039-a_w_outline.jpg,wolfe_image-039-b_w_outline.jpg
A1CUDX7TTS2W61,30,wolfe_image-049-a_w_outline.jpg,wolfe_image-049-b_w_outline.jpg
