"workerId","RT","image_1_text","image_2_text","database","image"
"A11V7VINFPF6FM",205.324,"uuu","iiii","wolfe2","037_R_towel"
"A11V7VINFPF6FM",8.279,"eeee","eee","wolfe2","044_R_light"
"A11V7VINFPF6FM",3.881,"efegw","gwgewgree","wolfe2","024_R_towels"
"A11V7VINFPF6FM",3.21,"wrgrge","rgerre","wolfe2","047_R_handle"
"A11V7VINFPF6FM",3.187,"rgweeg","wrgewgerg","wolfe2","012_R_tubaccesory"
"A11V7VINFPF6FM",3.701,"rgewrgw","gwerwr","wolfe2","035_R_fruit"
"A11V7VINFPF6FM",2.959,"rgwrg","rgrgwe","wolfe2","095_R_candle"
"A11V7VINFPF6FM",3.111,"rwr","rgrre","wolfe2","084_R_light"
"A11V7VINFPF6FM",3.636,"rwrgrergewg","rgwrr","wolfe2","099_R_sconce"
"A11V7VINFPF6FM",4.502,"grwt","no","wolfe2","089_R_poster"
"A11V7VINFPF6FM",7.62,"ses","no","wolfe2","127_R_light"
"A11V7VINFPF6FM",5.635,"no","yes","wolfe2","048_R_art"
"A11V7VINFPF6FM",5.412,"yes","no","wolfe2","cow"
"A11V7VINFPF6FM",5.952,"yesno","no","wolfe2","airplane"
"A11YQP1EOSZGXU",127.508315,"ther is no white ball in the river","there is 3 white ball in the river","wolfe2","003_L_ducks"
"A11YQP1EOSZGXU",87.67196,"there will no electric tower","here will be a electrictower","wolfe2","004_L_electricalgrid"
"A11YQP1EOSZGXU",21.676475,"no difference","no object","wolfe2","117_L_plant_sized"
"A11YQP1EOSZGXU",23.159995,"no difference","no object","wolfe2","096_L_painting"
"A11YQP1EOSZGXU",19.588325,"noo","no","wolfe2","013_L_lamp"
"A11YQP1EOSZGXU",83.27018,"no","o ","wolfe2","048_L_art"
"A11YQP1EOSZGXU",17.60856,"fnono","no","wolfe2","030_L_drawer"
"A11YQP1EOSZGXU",31.49797,"no","no","wolfe2","101_L_cup"
"A11YQP1EOSZGXU",34.2071,"omn","no","wolfe2","033_L_vase"
"A11YQP1EOSZGXU",17.02789,"cap","no ap","wolfe2","105_L_hat"
"A11YQP1EOSZGXU",65.60861,"no","no","wolfe2","111_L_pot"
"A11YQP1EOSZGXU",31.62344,"no","no","wolfe2","019_L_lamp_sized"
"A11YQP1EOSZGXU",42.63111,"cow","no cow","wolfe2","cow"
"A11YQP1EOSZGXU",58.452345,"no","no","wolfe2","airplane"
"A1IMFKM5ITVDAQ",42.308515,"a relaxing bedroom that is colored mostly red with a lamp in the corner.","a relaxing bedroom that is colored mostly red.","wolfe2","090_R_lamp"
"A1IMFKM5ITVDAQ",64.85547,"a very spacious and tall living room of a huge house with a light on one side of the wall","a very spacious and tall living room of a huge house","wolfe2","127_R_light"
"A1IMFKM5ITVDAQ",47.059725,"a luxurious and clean bathroom","a luxurious and clean bathroom with paper towels in the shower","wolfe2","027_R_soapdish"
"A1IMFKM5ITVDAQ",74.66359,"a very elegant and modern living room of a big house","a very elegant and modern living room with 3 floating lights on the wall","wolfe2","070_R_lamp"
"A1IMFKM5ITVDAQ",32.5964,"a bright and clean bathroom with a light switch on the wall","a bright and clean bathroom","wolfe2","085_R_switchboard"
"A1IMFKM5ITVDAQ",81.79065,"living room with several glass windows, ceiling light with fan and a flower pot beside the cushioned chair.","living room with several glass windows, ceiling light with fan and many places to sit.","wolfe2","112_R_basket"
"A1IMFKM5ITVDAQ",45.92074,"room with many decorations near or on the wall","room with many decorations near or on the wall including a small glass owl.","wolfe2","051_R_owl"
"A1IMFKM5ITVDAQ",42.19348,"bright and clean washroom with a hook on the far wall.","bright and clean washroom","wolfe2","103_R_hook"
"A1IMFKM5ITVDAQ",73.59212,"lit and spacious kitchen with a color combination of red and white","lit and spacious kitchen with a color combination of red and white, bowls in the middle","wolfe2","036_R_bowl"
"A1IMFKM5ITVDAQ",61.3321,"spacious and bright kitchen with several windows and a flower vase on the countertop.","spacious and bright kitchen with several windows and a multiple flower vases on the countertop.","wolfe2","073_R_coffeemug"
"A1IMFKM5ITVDAQ",56.331305,"red colored washroom with several sinks and mirrors along with a smoke detector on the far wall.","red colored washroom with several sinks and mirrors","wolfe2","091_R_airfreshener"
"A1IMFKM5ITVDAQ",48.433505,"shiny, bright and clean washroom","shiny, bright and clean washroom with a light inside a brown square","wolfe2","044_R_light"
"A1IMFKM5ITVDAQ",46.607945,"black and white cow eating green grass","smooth green grass","wolfe2","cow"
"A1IMFKM5ITVDAQ",26.6753,"red and orange colored sky with an airplane flying through","red and orange colored sky","wolfe2","airplane"
"A1UACZOEGQ86U6",176.613725,"a modern bedroom that is well-decorated with lots of accent pieces and good lighting.","a modern bedroom that is well-decorated with lots of accent pieces, including a table that has vases and a bowl of fruit.","wolfe2","035_L_fruit"
"A1UACZOEGQ86U6",101.82198,"a living room with a modern and minimalistic feel, that includes a shelf with a lamp and a book","a living room with a modern and minimalistic feel, that includes a shelf with a lamp, a clear vase, and a book","wolfe2","033_L_vase"
"A1UACZOEGQ86U6",87.696845,"a common living space type room that blends natural and man-made elements, one of which is a wooden desk","a common living space type room that blends natural and man-made elements, one of which is a wooden desk with a book on top of it.","wolfe2","063_L_laptop"
"A1UACZOEGQ86U6",123.16267,"a bedroom with a classic theme, dark wood furniture with white fabric, and a dresser that has 7 handles","a bedroom with a classic theme, dark wood furniture with white fabric, and a dresser that has 8 handles","wolfe2","072_L_handle"
"A1UACZOEGQ86U6",154.82392,"a fireplace and mirror in a white room, containing classic accent pieces with a mantle as the centerpiece","a fireplace and mirror in a white room containing classic accent pieces with a mantle as the centerpiece, which has a small glass bird on top of it","wolfe2","051_L_owl"
"A1UACZOEGQ86U6",115.047355,"a bright and colorful childrens room that contains a bunk bed, a window, a table, and a storage dresser with 5 handles","a bright and colorful childrens room that contains a bunk bed, a window, a table, and a storage dresser with 6 handles","wolfe2","083_L_knob"
