workerId,trial_num,image_a,image_b
AU7A3QNJF3O00,1,rensink_Chopper-a_w_outline.jpg,rensink_Chopper-b_w_outline.jpg
AU7A3QNJF3O00,2,rensink_Market-a_w_outline.jpg,rensink_Market-b_w_outline.jpg
AU7A3QNJF3O00,3,rensink_Barns-a_w_outline.jpg,rensink_Barns-b_w_outline.jpg
AU7A3QNJF3O00,4,rensink_Harbor-a_w_outline.jpg,rensink_Harbor-b_w_outline.jpg
AU7A3QNJF3O00,5,rensink_Camel-a_w_outline.jpg,rensink_Camel-b_w_outline.jpg
AU7A3QNJF3O00,6,rensink_SummerLake-a_w_outline.jpg,rensink_SummerLake-b_w_outline.jpg
AU7A3QNJF3O00,7,rensink_Cactus-a_w_outline.jpg,rensink_Cactus-b_w_outline.jpg
AU7A3QNJF3O00,8,rensink_Horizon-a_w_outline.jpg,rensink_Horizon-b_w_outline.jpg
AU7A3QNJF3O00,9,rensink_NotreDame-a_w_outline.jpg,rensink_NotreDame-b_w_outline.jpg
AU7A3QNJF3O00,10,rensink_Kayak-a_w_outline.jpg,rensink_Kayak-b_w_outline.jpg
AU7A3QNJF3O00,11,rensink_OtherDiver-a_w_outline.jpg,rensink_OtherDiver-b_w_outline.jpg
AU7A3QNJF3O00,12,rensink_Description-a_w_outline.jpg,rensink_Description-b_w_outline.jpg
AU7A3QNJF3O00,13,rensink_Barrels-a_w_outline.jpg,rensink_Barrels-b_w_outline.jpg
AU7A3QNJF3O00,14,rensink_Soldiers-a_w_outline.jpg,rensink_Soldiers-b_w_outline.jpg
AU7A3QNJF3O00,15,rensink_Fishing-a_w_outline.jpg,rensink_Fishing-b_w_outline.jpg
AU7A3QNJF3O00,16,rensink_Lake-a_w_outline.jpg,rensink_Lake-b_w_outline.jpg
AU7A3QNJF3O00,17,rensink_Cockpit-a_w_outline.jpg,rensink_Cockpit-b_w_outline.jpg
AU7A3QNJF3O00,18,rensink_Mosque-a_w_outline.jpg,rensink_Mosque-b_w_outline.jpg
AU7A3QNJF3O00,19,rensink_Diver-a_w_outline.jpg,rensink_Diver-b_w_outline.jpg
AU7A3QNJF3O00,20,rensink_Marling-a_w_outline.jpg,rensink_Marling-b_w_outline.jpg
AU7A3QNJF3O00,21,rensink_Kids-a_w_outline.jpg,rensink_Kids-b_w_outline.jpg
AU7A3QNJF3O00,22,rensink_Eating-a_w_outline.jpg,rensink_Eating-b_w_outline.jpg
AU7A3QNJF3O00,23,rensink_Farmer-a_w_outline.jpg,rensink_Farmer-b_w_outline.jpg
AU7A3QNJF3O00,24,rensink_Seal-a_w_outline.jpg,rensink_Seal-b_w_outline.jpg
AU7A3QNJF3O00,25,rensink_Station-a_w_outline.jpg,rensink_Station-b_w_outline.jpg
AU7A3QNJF3O00,26,rensink_Obelisk-a_w_outline.jpg,rensink_Obelisk-b_w_outline.jpg
AU7A3QNJF3O00,27,rensink_Wine-a_w_outline.jpg,rensink_Wine-b_w_outline.jpg
AU7A3QNJF3O00,28,rensink_Floatplane-a_w_outline.jpg,rensink_Floatplane-b_w_outline.jpg
AU7A3QNJF3O00,29,rensink_Window-a_w_outline.jpg,rensink_Window-b_w_outline.jpg
AU7A3QNJF3O00,30,rensink_Pilots-a_w_outline.jpg,rensink_Pilots-b_w_outline.jpg
